order_id,date,poi_id,poi_name,region,lng,lat,weight_kg,volume_m3,window_start,window_end,priority
DO202606010000,2026-06-01,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,97.61,0.4293,875,995,低
DO202606010001,2026-06-01,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,240.32,0.0913,878,998,中
DO202606010002,2026-06-01,P003,红旗连锁,R06,104.132763,30.627528,6.11,0.2543,887,1007,高
DO202606010003,2026-06-01,P003,红旗连锁,R06,104.132763,30.627528,41.68,0.2697,888,1008,中
DO202606010004,2026-06-01,P003,红旗连锁,R06,104.132763,30.627528,5.85,0.6074,892,1012,高
DO202606010005,2026-06-01,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,47.03,1.8399,850,970,低
DO202606010006,2026-06-01,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,14.98,1.9655,854,974,高
DO202606010007,2026-06-01,P005,郝英超市,R06,104.129707,30.628761,20.98,0.2333,746,866,低
DO202606010008,2026-06-01,P005,郝英超市,R06,104.129707,30.628761,26.69,1.0261,747,867,低
DO202606010009,2026-06-01,P006,全家便利店(龙江路店),R03,104.077199,30.641639,9.61,0.0934,729,849,高
DO202606010010,2026-06-01,P006,全家便利店(龙江路店),R03,104.077199,30.641639,966.48,0.0423,731,851,高
DO202606010011,2026-06-01,P006,全家便利店(龙江路店),R03,104.077199,30.641639,442.33,0.7188,736,856,低
DO202606010012,2026-06-01,P006,全家便利店(龙江路店),R03,104.077199,30.641639,1.59,0.1863,738,858,中
DO202606010013,2026-06-01,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,59.22,0.145,740,860,高
DO202606010014,2026-06-01,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,15.95,0.5868,635,755,中
DO202606010015,2026-06-01,P010,百分百超市(心语店),R03,104.045915,30.545712,8.7,0.7458,627,747,中
DO202606010016,2026-06-01,P010,百分百超市(心语店),R03,104.045915,30.545712,115.21,0.3241,628,748,低
DO202606010017,2026-06-01,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,99.94,0.6533,562,682,中
DO202606010018,2026-06-01,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,46.9,0.375,562,682,低
DO202606010019,2026-06-01,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,6.9,2.6746,564,684,高
