poi_id,name,lng,lat,district,address,region
P001,689便民(荣盛·香榭兰庭店),104.135375,30.623625,成华区,锦绣大道4599号6栋1号,R06
P002,十二超市(佳年华广场1期店),104.131787,30.627615,成华区,峨眉山路555号附11-12,R06
P003,红旗连锁,104.132763,30.627528,成华区,峨眉山路555号佳年华广场1期,R06
P004,老蔡小卖部(水碾河路北社区三街店),104.099234,30.648748,成华区,水碾河北三街35号附26号(水碾河路北社区东南1门西80米),R06
P005,郝英超市,104.129707,30.628761,成华区,青衣江路499号3栋附105号,R06
P006,全家便利店(龙江路店),104.077199,30.641639,武侯区,龙江路商业楼东南门旁(新南门地铁站F2口步行340米),R03
P007,永辉超市(成都市新城吾悦广场店),103.988663,30.626255,武侯区,顺江大道77号吾悦广场负一楼,R03
P008,永辉超市(银泰城店),104.058121,30.541191,武侯区,高新区益州大道中段1999号18栋B1层B101号,R03
P009,永辉超市(龙湖成都金楠天街店),103.995986,30.648731,武侯区,晋吉西街188号龙湖金楠天街购物广场B1层,R03
P010,百分百超市(心语店),104.045915,30.545712,武侯区,荣华南路366号保利心语香雪,R03
P011,永辉超市(成都市双铁广场店),103.975737,30.758309,郫都区,犀浦镇双铁路112号(犀浦地铁站B入口步行460米),R01
P012,永辉超市(成都市蜀都万达广场店),103.907862,30.807642,郫都区,蜀都万达广场,R01
P013,永辉超市(爱琴海购物中心店),103.991901,30.737566,郫都区,国宁东路919号爱琴海购物中心B1层,R01
P014,永辉超市(龙湖成都时代天街店),103.921214,30.750831,郫都区,合作路89号龙湖时代天街天街商场A馆B1层,R01
P015,红旗超市(龙湖时代天街店),103.919653,30.752444,郫都区,合信路,R01
P016,LAWSON罗森(枣子巷15号院店),104.044885,30.667759,金牛区,枣子巷店15号附28号,R04
P017,LAWSON罗森(龙湖成都上城天街店),104.071944,30.68395,金牛区,成华西街299号10栋1层,R04
P018,乐多(成华西街一店),104.071998,30.683402,金牛区,成华西街299号11栋1层18号(龙湖上城天街),R04
P019,奥特乐(成都龙湖上城天街店),104.072004,30.684929,金牛区,一环路北二段与人民北路交汇处龙湖上城天街B1层(安踏右斜对面),R04
P020,朴朴超市(西体路店),104.061775,30.681195,金牛区,西体路19号,R04
P021,Ole 精品超市(IFS国际金融中心店),104.081893,30.655003,锦江区,红星路三段IFS国际金融中心LG2层60号商铺,R05
P022,四川舞东风超市连锁股份有限公司,104.082047,30.660437,锦江区,春熙路街道福兴街58号星光商务楼3楼,R05
P023,永辉超市(文华广场店),104.107695,30.637048,锦江区,通宝街19号文华广场中心B1层(牛市口A2地铁口),R05
P024,永辉超市(锦江城市花园店),104.142752,30.595134,锦江区,锦江大道889号B1-01号,R05
P025,红旗超市(成都红旗商厦店),104.072081,30.658735,锦江区,总府路87号(天府广场地铁站东1北口步行490米),R05
P026,友好多连锁超市(界牌店),104.313922,30.880419,青白江区,002乡道与茶永路交叉口东400米,R07
P027,大荣发连锁超市(和顺雅苑店),104.253582,30.90011,青白江区,凤凰西八路23号,R07
P028,永辉超市(天府欧城店),104.256388,30.892152,青白江区,大弯街道凤凰西七路5号1-2层,R07
P029,永辉超市(青白江万达广场店),104.253652,30.878095,青白江区,青江中路238号,R07
P030,润都连锁生活超市(正兴路店),104.188354,30.87079,青白江区,正兴路344号,R07
P031,渝华连锁超市(学苑路店),104.276426,30.875299,青白江区,学苑路294-302号,R07
P032,渝华连锁超市(绣川新城店),104.330571,30.85576,青白江区,城厢镇家珍路109号,R07
P033,红旗超市(团结花园店),104.246885,30.877313,青白江区,团结北路63号(窄巷子2-6号),R07
P034,红旗连锁(北城新界民族花园店),104.201632,30.877318,青白江区,弥牟镇民族街8号附21-22号,R07
P035,红旗连锁(青白江同金街便利店),104.244552,30.889503,青白江区,嘉和瑞景2期东门东北110米,R07
P036,红旗连锁(青白江城厢首府分场),104.323054,30.860039,青白江区,城厢镇朝阳北路45号城香首府8栋10-12号,R07
P037,红旗连锁(青白江石家碾西路店),104.253962,30.887052,青白江区,石家碾西路142-148号1层,R07
P038,青江一家超市,104.284321,30.880989,青白江区,凤凰东二路112号,R07
P039,青江百货连锁超市,104.269502,30.876837,青白江区,大弯北路237-247号青江百货连锁超市,R07
P040,上蔬永辉超市(西单商场店),104.000521,30.674866,青羊区,苏坡街道金沙街道苏坡东路12号2栋-1层B1-018号,R02
P041,永辉超市(成都青羊中铁大道店),103.961452,30.670211,青羊区,光华街道光华大道一段光华北三路55号鹏瑞利广场B1-34,R02
P042,永辉超市(青羊新城市店),104.057614,30.67321,青羊区,西大街与宁夏街交汇处百盛奥莱门口(西大街地铁站E口旁),R02
P043,红旗超市(中同仁路分场),104.052373,30.668819,青羊区,中同仁路85号1层,R02
P044,邻你生活超市(大庆店),104.032527,30.669557,青羊区,大庆路6号(草堂北路地铁站B口步行430米),R02
P045,世纪红连锁超市,104.208007,30.532247,龙泉驿区,成都金富源汽车玻璃有限公司西门西南140米,R08
P046,尚喜超市(锦绣路店),104.308338,30.606726,龙泉驿区,锦绣路319号,R08
P047,永辉超市(成都龙泉驿万达广场店),104.269392,30.566865,龙泉驿区,龙泉街道创业北街8号,R08
P048,汇联美连锁超市(中街店),104.27333,30.560098,龙泉驿区,龙泉驿中街36号,R08
P049,百伦生活超市(龙泉店),104.273346,30.559846,龙泉驿区,中街36号百伦新宸百货2层,R08
