order_id,date,weekday,is_friday,rainy,region,poi_id,vehicle_id,anomaly_type,delay_min,handling_min,planned_departure,actual_departure,arrival_time,window_start,window_end,on_time,temp_min_c,temp_max_c,temp_compliance_rate
DO202606010000,2026-06-01,0,False,False,R06,P002,V01,无异常,0.0,0.0,2026-06-01 13:49:07.200,2026-06-01 13:49:07.200000000,2026-06-01 14:25:00.000000000,2026-06-01 14:35:00,2026-06-01 16:35:00,True,3.87,7.17,1.0
DO202606010001,2026-06-01,0,False,False,R06,P002,V08,无异常,0.0,0.0,2026-06-01 13:52:07.200,2026-06-01 13:52:07.200000000,2026-06-01 14:28:00.000000000,2026-06-01 14:38:00,2026-06-01 16:38:00,True,4.48,6.86,1.0
DO202606010002,2026-06-01,0,False,False,R06,P003,V05,无异常,0.0,0.0,2026-06-01 14:00:42.000,2026-06-01 14:00:42.000000000,2026-06-01 14:37:00.000000000,2026-06-01 14:47:00,2026-06-01 16:47:00,True,4.41,8.34,0.7778
DO202606010003,2026-06-01,0,False,False,R06,P003,V05,无异常,0.0,0.0,2026-06-01 14:01:42.000,2026-06-01 14:01:42.000000000,2026-06-01 14:38:00.000000000,2026-06-01 14:48:00,2026-06-01 16:48:00,True,3.76,8.49,0.8889
DO202606010004,2026-06-01,0,False,False,R06,P003,V15,无异常,0.0,0.0,2026-06-01 14:05:42.000,2026-06-01 14:05:42.000000000,2026-06-01 14:42:00.000000000,2026-06-01 14:52:00,2026-06-01 16:52:00,True,3.71,10.11,0.7778
DO202606010005,2026-06-01,0,False,False,R06,P004,V10,无异常,0.0,0.0,2026-06-01 13:18:29.400,2026-06-01 13:18:29.400000000,2026-06-01 14:00:00.000000000,2026-06-01 14:10:00,2026-06-01 16:10:00,True,3.95,6.61,1.0
DO202606010006,2026-06-01,0,False,False,R06,P004,V01,无异常,0.0,0.0,2026-06-01 13:22:29.400,2026-06-01 13:22:29.400000000,2026-06-01 14:04:00.000000000,2026-06-01 14:14:00,2026-06-01 16:14:00,True,3.48,7.76,1.0
DO202606010007,2026-06-01,0,False,False,R06,P005,V13,无异常,0.0,0.0,2026-06-01 11:40:22.800,2026-06-01 11:40:22.800000000,2026-06-01 12:16:00.000000000,2026-06-01 12:26:00,2026-06-01 14:26:00,True,3.92,8.84,0.8889
DO202606010008,2026-06-01,0,False,False,R06,P005,V05,无异常,0.0,0.0,2026-06-01 11:41:22.800,2026-06-01 11:41:22.800000000,2026-06-01 12:17:00.000000000,2026-06-01 12:27:00,2026-06-01 14:27:00,True,4.12,8.36,0.7778
DO202606010009,2026-06-01,0,False,False,R03,P006,V07,无异常,0.0,0.0,2026-06-01 11:08:05.400,2026-06-01 11:08:05.400000000,2026-06-01 11:59:00.000000000,2026-06-01 12:09:00,2026-06-01 14:09:00,True,3.9,8.53,0.9167
DO202606010010,2026-06-01,0,False,False,R03,P006,V09,无异常,0.0,0.0,2026-06-01 11:10:05.400,2026-06-01 11:10:05.400000000,2026-06-01 12:01:00.000000000,2026-06-01 12:11:00,2026-06-01 14:11:00,True,3.58,7.37,1.0
DO202606010011,2026-06-01,0,False,False,R03,P006,V01,无异常,0.0,0.0,2026-06-01 11:15:05.400,2026-06-01 11:15:05.400000000,2026-06-01 12:06:00.000000000,2026-06-01 12:16:00,2026-06-01 14:16:00,True,3.93,6.48,1.0
DO202606010012,2026-06-01,0,False,False,R03,P006,V08,无异常,0.0,0.0,2026-06-01 11:17:05.400,2026-06-01 11:17:05.400000000,2026-06-01 12:08:00.000000000,2026-06-01 12:18:00,2026-06-01 14:18:00,True,3.96,8.28,0.9167
DO202606010013,2026-06-01,0,False,False,R03,P007,V09,无异常,0.0,0.0,2026-06-01 11:14:41.400,2026-06-01 11:14:41.400000000,2026-06-01 12:10:00.000000000,2026-06-01 12:20:00,2026-06-01 14:20:00,True,3.85,8.2,0.9231
DO202606010014,2026-06-01,0,False,False,R03,P009,V07,无异常,0.0,0.0,2026-06-01 09:34:26.400,2026-06-01 09:34:26.400000000,2026-06-01 10:25:00.000000000,2026-06-01 10:35:00,2026-06-01 12:35:00,True,4.33,7.57,1.0
DO202606010015,2026-06-01,0,False,False,R03,P010,V05,无异常,0.0,0.0,2026-06-01 09:26:22.200,2026-06-01 09:26:22.200000000,2026-06-01 10:17:00.000000000,2026-06-01 10:27:00,2026-06-01 12:27:00,True,3.81,5.93,1.0
DO202606010016,2026-06-01,0,False,False,R03,P010,V06,无异常,0.0,0.0,2026-06-01 09:27:22.200,2026-06-01 09:27:22.200000000,2026-06-01 10:18:00.000000000,2026-06-01 10:28:00,2026-06-01 12:28:00,True,4.23,6.3,1.0
DO202606010017,2026-06-01,0,False,False,R01,P012,V06,无异常,0.0,0.0,2026-06-01 08:19:28.200,2026-06-01 08:19:28.200000000,2026-06-01 09:12:00.000000000,2026-06-01 09:22:00,2026-06-01 11:22:00,True,4.04,9.84,0.8333
DO202606010018,2026-06-01,0,False,False,R01,P012,V15,无异常,0.0,0.0,2026-06-01 08:19:28.200,2026-06-01 08:19:28.200000000,2026-06-01 09:12:00.000000000,2026-06-01 09:22:00,2026-06-01 11:22:00,True,3.53,5.9,1.0
DO202606010019,2026-06-01,0,False,False,R01,P012,V03,无异常,0.0,0.0,2026-06-01 08:21:28.200,2026-06-01 08:21:28.200000000,2026-06-01 09:14:00.000000000,2026-06-01 09:24:00,2026-06-01 11:24:00,True,3.44,6.13,1.0
DO202606010020,2026-06-01,0,False,False,R01,P012,V08,无异常,0.0,0.0,2026-06-01 08:22:28.200,2026-06-01 08:22:28.200000000,2026-06-01 09:15:00.000000000,2026-06-01 09:25:00,2026-06-01 11:25:00,True,3.9,6.57,1.0
DO202606010021,2026-06-01,0,False,False,R01,P013,V11,无异常,0.0,0.0,2026-06-01 08:58:04.800,2026-06-01 08:58:04.800000000,2026-06-01 09:43:00.000000000,2026-06-01 09:53:00,2026-06-01 11:53:00,True,4.37,8.83,0.9
DO202606010022,2026-06-01,0,False,False,R01,P013,V10,无异常,0.0,0.0,2026-06-01 09:01:04.800,2026-06-01 09:01:04.800000000,2026-06-01 09:46:00.000000000,2026-06-01 09:56:00,2026-06-01 11:56:00,True,3.25,7.29,1.0
DO202606010023,2026-06-01,0,False,False,R01,P013,V01,无异常,0.0,0.0,2026-06-01 09:01:04.800,2026-06-01 09:01:04.800000000,2026-06-01 09:46:00.000000000,2026-06-01 09:56:00,2026-06-01 11:56:00,True,3.38,5.83,1.0
DO202606010024,2026-06-01,0,False,False,R01,P013,V05,无异常,0.0,0.0,2026-06-01 09:03:04.800,2026-06-01 09:03:04.800000000,2026-06-01 09:48:00.000000000,2026-06-01 09:58:00,2026-06-01 11:58:00,True,3.75,8.98,0.9
DO202606010025,2026-06-01,0,False,False,R01,P014,V07,无异常,0.0,0.0,2026-06-01 12:15:18.600,2026-06-01 12:15:18.600000000,2026-06-01 12:58:00.000000000,2026-06-01 13:08:00,2026-06-01 15:08:00,True,4.24,8.68,0.9
