vehicle_id,n_days,mean_load_rate,median_load_rate,min_load_rate,max_load_rate,days_below_threshold,is_low_load
V01,90,0.7363190476190475,0.708825,0.08732857142857144,1.9443285714285714,21,False
V02,90,0.58434,0.5029178571428572,0.04967857142857144,2.3243071428571427,33,False
V03,90,0.7759315079365079,0.6384678571428571,0.06755714285714286,5.080021428571429,17,False
V04,90,0.6000692857142857,0.5131892857142857,0.1305285714285714,2.266907142857143,19,False
V05,90,0.5440379365079365,0.4647892857142857,0.03442142857142857,2.5071000000000003,37,False
V06,90,0.4831861111111111,0.4179071428571428,0.0501,2.2010642857142857,36,False
V07,90,0.5695200793650793,0.46985,0.002707142857142857,2.706192857142857,32,False
V08,90,0.4633710317460318,0.3253357142857143,0.060271428571428566,3.385021428571428,48,False
V09,90,0.4628189682539683,0.3109821428571429,0.0196,2.4506071428571428,48,False
V10,90,0.39300158730158735,0.3041892857142857,0.0074428571428571426,2.495607142857143,55,False
V11,89,0.4197317817014446,0.2719142857142857,0.01472857142857143,2.5879,53,False
V12,85,0.2950249579831933,0.2033,0.0031857142857142856,2.0917285714285714,61,True
V13,85,0.20573672268907564,0.13632857142857144,0.0042928571428571425,1.4225500000000002,70,True
V14,84,0.24141989795918364,0.11702142857142858,0.0046214285714285715,3.088507142857143,71,True
V15,90,0.6899384920634921,0.5360321428571428,0.042757142857142855,4.587507142857143,27,False
