vehicle_id,plate,mode,mode_label,rated_payload_kg,rated_volume_m3,fixed_cost_per_day,cost_per_km,alloc_weight
V01,川A90TVZ,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.105
V02,川A13X1S,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.095
V03,川AFSFN3,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.09
V04,川ANCNLB,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.085
V05,川AKF2GB,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.08
V06,川AKHMKM,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.075
V07,川ALTX07,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.07
V08,川AN5RW8,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.065
V09,川A8P393,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.06
V10,川A3W4LL,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.055
V11,川AEPF00,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.05
V12,川ADH8R1,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.03
V13,川ASRRBM,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.028
V14,川AH9545,diesel,柴油自购,1400.0,18.0,353.0,1.11,0.026
V15,川AK7QDV,ev,纯电租赁,1400.0,18.0,384.0,0.44,0.086
