,DC,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
DC,0.0,35.583,36.488,35.964,37.512,36.464,38.963,50.566,52.232,48.683,51.857,43.322,48.951,45.008,47.957,48.067,41.274,38.376,38.372,38.218,39.56,37.312,36.588,38.334,40.568,37.431,6.972,10.86,9.088,7.518,14.512,6.34,4.737,7.743,12.546,9.593,4.775,8.588,7.116,6.696,44.566,47.851,41.554,42.407,42.27,45.455,41.954,40.807,44.314,44.297
P001,35.583,0.0,1.075,0.724,5.7,1.292,8.888,19.188,17.188,21.556,17.822,32.452,41.474,29.455,38.142,38.251,11.505,12.679,12.674,12.314,13.59,7.632,7.948,3.675,5.009,8.202,38.979,38.804,39.283,39.677,35.85,38.476,39.438,39.85,36.304,38.421,38.12,39.138,39.489,38.832,17.658,25.692,11.324,11.104,12.303,19.809,20.584,18.328,17.497,17.48
P002,36.488,1.075,0.0,0.322,5.338,0.448,7.595,20.08,18.08,22.447,18.852,33.358,42.38,30.36,39.048,39.156,11.142,11.122,11.117,10.998,13.228,7.27,7.585,3.173,5.9,7.839,39.884,39.709,40.189,40.582,36.755,39.381,40.343,40.755,37.209,39.327,39.026,40.044,40.394,39.738,17.296,25.828,10.961,10.742,11.94,20.7,20.67,18.414,21.918,21.9
P003,35.964,0.724,0.322,0.0,5.094,0.553,7.516,19.733,17.732,22.1,18.367,29.339,38.025,26.402,35.192,35.302,10.9,10.878,10.874,10.756,12.985,7.027,7.342,3.18,5.063,7.596,39.36,39.184,39.664,40.058,36.23,38.856,39.818,40.23,36.684,38.802,38.502,39.519,39.87,39.213,17.053,21.577,10.718,10.498,11.698,19.843,20.354,18.098,21.602,21.585
P004,37.512,5.7,5.338,5.094,0.0,5.165,3.551,15.031,16.402,12.957,17.249,18.232,29.513,15.694,26.007,26.116,6.235,6.088,6.209,6.135,6.653,2.362,2.677,2.478,10.752,2.931,40.908,38.83,39.31,39.704,32.504,40.404,41.366,39.876,33.351,38.448,40.049,39.165,41.418,40.761,10.114,14.638,6.053,5.834,7.032,26.678,23.54,21.284,24.788,24.77
P005,36.464,1.292,0.448,0.553,5.165,0.0,7.31,20.162,18.161,18.171,18.933,33.334,42.356,30.336,39.024,39.132,10.97,10.536,10.532,10.414,13.055,7.098,6.9,3.014,5.982,7.666,39.86,39.685,40.165,40.558,36.731,39.357,40.319,40.731,37.185,39.303,39.002,40.02,40.37,39.714,17.124,25.655,10.788,10.569,11.768,20.782,21.253,18.997,22.501,22.484
P006,38.963,8.888,7.595,7.516,3.551,7.31,0.0,11.963,13.288,10.688,13.796,19.432,28.262,16.895,24.422,24.532,6.106,6.348,7.283,6.827,6.669,3.464,3.432,4.384,10.854,3.766,42.359,37.896,38.375,38.023,33.446,41.856,42.817,38.798,34.293,37.514,41.5,38.23,42.869,42.212,10.742,15.266,5.954,6.007,7.66,27.499,26.66,24.404,27.908,27.891
P007,50.566,19.188,20.08,19.733,15.031,20.162,11.963,0.0,16.409,4.15,14.225,18.672,27.462,16.414,21.503,21.612,12.812,14.428,15.146,15.3,13.733,11.82,11.93,15.692,16.945,11.564,53.962,49.201,49.681,49.329,40.252,53.458,54.42,50.104,41.099,48.82,53.103,49.536,53.674,51.567,8.216,8.534,13.453,11.506,11.726,32.718,37.593,35.337,33.452,33.434
P008,52.232,17.188,18.08,17.732,16.402,18.161,13.288,16.409,0.0,17.63,2.365,36.352,40.882,30.343,33.943,34.052,17.147,17.457,17.452,17.504,17.71,15.11,15.35,15.586,14.945,15.056,55.628,57.568,58.047,56.303,52.558,55.124,56.086,56.945,53.012,57.186,54.769,57.678,56.138,55.481,20.947,24.202,16.996,17.048,18.986,18.944,33.772,29.33,29.554,29.537
P009,48.683,21.556,22.447,22.1,12.957,18.171,10.688,4.15,17.63,0.0,15.446,16.788,25.58,14.53,19.62,19.729,8.896,12.112,12.232,12.372,11.408,11.791,11.495,13.604,19.312,10.669,52.079,47.318,47.798,47.446,38.368,51.575,52.537,48.221,39.216,46.936,51.22,47.653,51.791,49.683,5.53,7.808,11.136,9.19,7.81,35.085,39.96,37.704,35.82,35.802
P010,51.857,17.822,18.852,18.367,17.249,18.933,13.796,14.225,2.365,15.446,0.0,34.537,39.118,28.159,32.179,32.288,16.014,17.606,17.659,17.38,17.548,16.314,15.948,18.436,15.438,14.612,55.253,57.193,57.672,55.928,50.744,54.75,55.712,56.57,51.198,56.811,54.394,57.304,55.763,55.106,18.764,22.388,15.926,15.979,17.172,23.265,33.397,31.138,29.526,29.509
P011,43.322,32.452,33.358,29.339,18.232,33.334,19.432,18.672,36.352,16.788,34.537,0.0,9.283,3.409,6.977,7.086,13.136,13.708,13.828,13.968,13.465,17.066,15.912,22.502,34.574,15.14,46.718,42.256,42.736,45.48,30.862,46.214,47.176,43.158,31.71,41.874,45.86,42.59,47.228,46.572,12.156,15.957,12.56,13.016,12.904,51.08,50.408,47.462,50.969,50.951
P012,48.951,41.474,42.38,38.025,29.513,42.356,28.262,27.462,40.882,25.58,39.118,9.283,0.0,12.238,8.958,8.992,21.965,22.538,22.657,22.798,22.294,28.347,27.192,31.331,41.928,23.969,58.214,54.04,54.496,53.848,36.492,51.844,60.21,55.318,37.339,54.034,57.31,54.902,58.678,52.201,21.464,21.459,21.39,21.845,22.398,57.819,56.037,54.89,58.398,58.38
P013,45.008,29.455,30.36,26.402,15.694,30.336,16.895,16.414,30.343,14.53,28.159,3.409,12.238,0.0,9.933,10.042,10.598,11.985,12.104,12.246,10.927,14.529,13.824,19.964,32.763,12.602,48.404,42.326,42.806,42.454,29.042,47.9,48.862,43.229,29.889,41.944,47.546,42.661,46.799,48.257,10.414,13.699,10.023,10.478,10.367,47.761,44.623,42.367,45.871,45.854
P014,47.957,38.142,39.048,35.192,26.007,39.024,24.422,21.503,33.943,19.62,32.179,6.977,8.958,9.933,0.0,0.862,17.274,19.609,19.728,19.87,19.366,24.841,22.085,29.968,35.968,20.495,51.354,46.891,47.371,50.115,35.498,50.85,51.812,47.794,36.345,46.51,50.495,47.226,51.864,51.207,12.118,14.52,18.462,17.338,16.438,50.88,55.043,53.896,57.404,57.386
P015,48.067,38.251,39.156,35.302,26.116,39.132,24.532,21.612,34.052,19.729,32.288,7.086,8.992,10.042,0.862,0.0,17.382,19.718,19.838,19.978,19.475,24.95,22.194,30.076,36.078,20.604,51.463,47.0,47.48,50.224,35.606,50.959,51.921,47.903,36.454,46.618,50.604,47.335,51.972,51.316,12.617,14.629,18.571,17.448,16.548,50.989,55.152,54.006,57.513,57.496
P016,41.274,11.505,11.142,10.9,6.235,10.97,6.106,12.812,17.147,8.896,16.014,13.136,21.965,10.598,17.274,17.382,0.0,4.572,4.692,4.627,3.752,5.068,4.361,8.276,17.885,3.958,44.671,39.91,40.39,40.038,31.242,44.167,45.129,40.813,32.09,39.528,43.812,40.245,44.383,42.276,5.521,10.045,2.184,1.149,2.439,32.912,29.344,27.088,30.592,30.575
P017,38.376,12.679,11.122,10.878,6.088,10.536,6.348,14.428,17.457,12.112,17.606,13.708,22.538,11.985,19.609,19.718,4.572,0.0,0.144,0.49,1.525,4.942,3.784,7.688,16.146,3.483,41.772,37.012,37.492,36.07,27.152,41.269,42.231,35.766,27.999,36.63,40.914,37.347,41.485,39.378,8.644,13.168,2.928,3.741,5.334,32.847,33.841,31.584,35.088,35.071
P018,38.372,12.674,11.117,10.874,6.209,10.532,7.283,15.146,17.452,12.232,17.659,13.828,22.657,12.104,19.728,19.838,4.692,0.144,0.0,0.485,1.598,5.53,4.292,8.122,16.141,3.478,41.768,37.008,37.488,36.065,27.147,41.264,42.226,35.762,27.995,36.626,40.91,37.342,41.48,39.373,8.763,13.287,2.933,3.91,5.454,36.974,33.836,31.58,35.084,35.066
P019,38.218,12.314,10.998,10.756,6.135,10.414,6.827,15.3,17.504,12.372,17.38,13.968,22.798,12.246,19.87,19.978,4.627,0.49,0.485,0.0,1.907,4.988,3.831,7.735,16.292,3.53,41.614,36.854,37.334,35.912,26.993,41.111,42.073,35.608,27.841,36.472,40.756,37.189,41.327,39.22,8.904,13.428,2.974,3.788,5.595,32.894,29.2,26.944,30.448,30.431
P020,39.56,13.59,13.228,12.985,6.653,13.055,6.669,13.733,17.71,11.408,17.548,13.465,22.294,10.927,19.366,19.475,3.752,1.525,1.598,1.907,0.0,5.602,4.267,8.6,18.587,3.813,42.956,38.195,38.675,37.252,28.334,42.452,43.414,36.95,29.182,37.814,42.097,38.53,42.668,40.561,7.94,12.464,1.582,2.559,4.631,34.998,31.43,29.174,32.678,32.66
P021,37.312,7.632,7.27,7.027,2.362,7.098,3.464,11.82,15.11,11.791,16.314,17.066,28.347,14.529,24.841,24.95,5.068,4.942,5.53,4.988,5.602,0.0,1.472,4.159,12.433,1.765,40.708,35.948,36.428,36.076,32.665,40.204,41.166,36.85,33.119,35.566,39.85,36.282,40.42,38.313,8.948,13.472,4.887,4.668,5.866,28.61,25.472,23.216,26.72,26.702
P022,36.588,7.948,7.585,7.342,2.677,6.9,3.432,11.93,15.35,11.495,15.948,15.912,27.192,13.824,22.085,22.194,4.361,3.784,4.292,3.831,4.267,1.472,0.0,4.516,13.006,1.335,39.984,35.224,35.703,35.351,30.332,39.48,40.442,36.126,31.18,34.842,39.125,35.558,39.696,37.588,8.652,13.176,4.045,3.654,5.624,29.204,25.787,23.531,27.035,27.018
P023,38.334,3.675,3.173,3.18,2.478,3.014,4.384,15.692,15.586,13.604,18.436,22.502,31.331,19.964,29.968,30.076,8.276,7.688,8.122,7.735,8.6,4.159,4.516,0.0,7.164,4.759,41.73,37.33,37.81,40.242,33.237,41.226,42.188,38.232,34.084,36.948,40.871,37.665,42.24,41.583,13.879,18.403,7.864,7.546,9.074,18.947,22.78,20.524,24.028,24.01
P024,40.568,5.009,5.9,5.063,10.752,5.982,10.854,16.945,14.945,19.312,15.438,34.574,41.928,32.763,35.968,36.078,17.885,16.146,16.141,16.292,18.587,12.433,13.006,7.164,0.0,13.032,43.964,42.112,42.591,44.049,39.158,43.461,44.423,44.221,39.612,41.73,43.106,42.446,44.474,43.818,22.682,24.726,16.852,17.484,20.438,12.13,23.943,18.072,14.695,14.677
P025,37.431,8.202,7.839,7.596,2.931,7.666,3.766,11.564,15.056,10.669,14.612,15.14,23.969,12.602,20.495,20.604,3.958,3.483,3.478,3.53,3.813,1.765,1.335,4.759,13.032,0.0,40.827,36.067,36.546,36.195,30.827,40.323,41.286,36.97,31.675,35.685,39.968,36.402,40.54,38.432,7.826,12.35,3.255,3.383,5.22,29.957,26.041,23.785,27.289,27.272
P026,6.972,38.979,39.884,39.36,40.908,39.86,42.359,53.962,55.628,52.079,55.253,46.718,58.214,48.404,51.354,51.463,44.671,41.772,41.768,41.614,42.956,40.708,39.984,41.73,43.964,40.827,0.0,7.082,6.926,7.78,14.318,4.936,5.552,8.422,12.146,7.91,3.202,7.479,4.187,5.48,47.962,51.247,44.95,45.803,45.665,48.851,45.35,44.203,47.71,47.693
P027,10.86,38.804,39.709,39.184,38.83,39.685,37.896,49.201,57.568,47.318,57.193,42.256,54.04,42.326,46.891,47.0,39.91,37.012,37.008,36.854,38.195,35.948,35.224,37.33,42.112,36.067,7.082,0.0,1.297,2.82,8.915,5.319,10.468,3.476,6.742,1.904,9.053,1.584,4.609,4.274,43.202,46.487,40.19,41.043,40.906,50.791,47.29,46.143,49.65,49.633
P028,9.088,39.283,40.189,39.664,39.31,40.165,38.375,49.681,58.047,47.798,57.672,42.736,54.496,42.806,47.371,47.48,40.39,37.492,37.488,37.334,38.675,36.428,35.703,37.81,42.591,36.546,6.926,1.297,0.0,2.231,8.78,3.442,8.942,2.482,6.608,1.482,7.528,1.179,3.69,3.028,43.682,46.966,40.67,41.522,41.385,51.27,47.769,46.622,50.13,50.112
P029,7.518,39.677,40.582,40.058,39.704,40.558,38.023,49.329,56.303,47.446,55.928,45.48,53.848,42.454,50.115,50.224,40.038,36.07,36.065,35.912,37.252,36.076,35.351,40.242,44.049,36.195,7.78,2.82,2.231,0.0,8.416,3.327,9.035,1.037,6.244,2.43,8.163,1.439,3.563,1.517,43.33,46.614,40.404,41.171,41.176,49.526,43.896,44.878,48.386,48.368
P030,14.512,35.85,36.755,36.23,32.504,36.731,33.446,40.252,52.558,38.368,50.744,30.862,36.492,29.042,35.498,35.606,31.242,27.152,27.147,26.993,28.334,32.665,30.332,33.237,39.158,30.827,14.318,8.915,8.78,8.416,0.0,10.988,16.129,7.473,2.226,7.529,14.714,8.377,10.904,9.758,34.252,37.537,31.648,30.378,32.258,47.837,44.304,43.189,46.696,46.679
