month,n_orders,ontime_rate,delay_rate,avg_fulfillment_days
2016-09,1,0.0,1.0,54.81
2016-10,261,0.9885,0.0115,19.68
2016-12,1,1.0,0.0,4.69
2017-01,749,0.9693,0.0307,12.64
2017-02,1651,0.9679,0.0321,13.18
2017-03,2545,0.9442,0.0558,12.95
2017-04,2303,0.9214,0.0786,14.92
2017-05,3544,0.9639,0.0361,11.32
2017-06,3134,0.9614,0.0386,12.01
2017-07,3861,0.9656,0.0344,11.61
2017-08,4191,0.9668,0.0332,11.15
2017-09,4150,0.948,0.052,11.85
2017-10,4478,0.9471,0.0529,11.86
2017-11,7288,0.8569,0.1431,15.16
2017-12,5513,0.9162,0.0838,15.39
2018-01,7069,0.9344,0.0656,14.08
2018-02,6555,0.8401,0.1599,16.95
2018-03,7003,0.7864,0.2136,16.3
2018-04,6791,0.9468,0.0532,11.5
2018-05,6719,0.9172,0.0828,11.43
2018-06,6050,0.9864,0.0136,9.24
2018-07,6119,0.9552,0.0448,8.97
2018-08,6306,0.8953,0.1047,7.74
