customer_state,n_orders,ontime_rate,delay_rate,avg_fulfillment_days
AL,397,0.7607,0.2393,24.54
MA,714,0.8025,0.1975,21.61
PI,473,0.8393,0.1607,19.51
CE,1278,0.8466,0.1534,21.27
SE,334,0.8473,0.1527,21.55
BA,3252,0.8598,0.1402,19.34
RJ,12330,0.865,0.135,15.32
TO,273,0.8718,0.1282,17.7
PA,945,0.8762,0.1238,23.78
ES,1989,0.8773,0.1227,15.81
MS,699,0.8841,0.1159,15.65
PB,517,0.8897,0.1103,20.43
PE,1592,0.892,0.108,18.45
RN,474,0.8924,0.1076,19.28
SC,3534,0.9021,0.0979,14.98
GO,1951,0.918,0.082,15.63
RS,5327,0.9283,0.0717,15.32
DF,2077,0.9292,0.0708,12.98
MT,883,0.932,0.068,18.09
SP,40428,0.941,0.059,8.77
MG,11327,0.9438,0.0562,12.02
PR,4912,0.9499,0.0501,12.0
AM,145,0.9586,0.0414,26.43
RO,243,0.9712,0.0288,19.37
