order_id,date,region,poi_id,vehicle_id,anomaly_type,delay_min,handling_min,temp_max_c,severity,severity_basis
DO202608020015,2026-08-02,R03,P009,V09,拥堵,180.0,14.1,7.1,180.0,延误 (min)
DO202606240012,2026-06-24,R03,P006,V13,拥堵,178.3,5.8,9.33,178.3,延误 (min)
DO202606300085,2026-06-30,R07,P037,V11,拥堵,177.2,3.1,9.5,177.2,延误 (min)
DO202608160074,2026-08-16,R07,P030,V02,故障,230.5,135.7,8.77,230.5,延误 (min)
DO202607130071,2026-07-13,R07,P031,V05,故障,228.8,80.5,6.29,228.8,延误 (min)
DO202607270049,2026-07-27,R04,P018,V06,故障,224.7,47.5,6.95,224.7,延误 (min)
DO202606280087,2026-06-28,R07,P037,V02,晚点,239.8,27.1,6.64,239.8,延误 (min)
DO202607220072,2026-07-22,R02,P044,V04,晚点,239.3,28.9,6.82,239.3,延误 (min)
DO202608090089,2026-08-09,R08,P047,V07,晚点,238.6,10.1,10.08,238.6,延误 (min)
DO202606010063,2026-06-01,R07,P031,V01,温控波动,1.4,54.4,16.55,11.55,温升 (℃)
DO202606250088,2026-06-25,R08,P045,V03,温控波动,9.7,57.4,16.37,11.370000000000001,温升 (℃)
DO202608150059,2026-08-15,R07,P028,V06,温控波动,2.0,20.4,16.33,11.329999999999998,温升 (℃)
