week,week_start,week_end,n_shipments,n_anomalies,anomaly_rate,late_rate,mean_delay_min,max_delay_min,mean_handling_min,temp_compliance_rate,share_拥堵,share_晚点,share_温控波动,share_故障,share_无异常,top_type,friday_late_rate,other_late_rate,friday_late_z,friday_late_replicates,r07_anomaly_rate,other_anomaly_rate,r07_anomaly_z,r07_anomaly_replicates,n_friday,n_r07,anomaly_rate_pp_vs_overall
2026-W23,2026-06-01,2026-06-07,746,52,0.06970509383378017,0.02680965147453083,110.13461538461539,235.9,29.48461538461538,0.9279758713136729,0.022788203753351208,0.02680965147453083,0.012064343163538873,0.00804289544235925,0.9302949061662198,晚点,0.0594,0.0217,2.18,True,0.1304,0.0464,4.04,True,101,207,-1.0733663021795707
2026-W24,2026-06-08,2026-06-14,702,56,0.07977207977207977,0.05555555555555555,125.05714285714285,234.3,19.760714285714283,0.9244625356125357,0.014245014245014245,0.05555555555555555,0.008547008547008548,0.0014245014245014246,0.9202279202279202,晚点,0.1207,0.0427,3.35,True,0.1659,0.0397,5.75,True,116,223,-0.06666770834961033
2026-W25,2026-06-15,2026-06-21,750,60,0.08,0.048,114.27833333333334,237.4,21.123333333333335,0.9304777333333333,0.017333333333333333,0.048,0.012,0.0026666666666666666,0.92,晚点,0.0891,0.0416,2.08,True,0.1724,0.0457,5.68,True,101,203,-0.04387568555758725
2026-W26,2026-06-22,2026-06-28,736,55,0.07472826086956522,0.03940217391304348,106.90181818181819,239.8,24.338181818181816,0.9209402173913044,0.017663043478260868,0.03940217391304348,0.01358695652173913,0.004076086956521739,0.9252717391304348,晚点,0.0612,0.0361,1.19,False,0.1658,0.041,5.72,True,98,199,-0.5710495986010657
2026-W27,2026-06-29,2026-07-05,667,61,0.09145427286356822,0.035982008995502246,106.86065573770492,229.1,17.88688524590164,0.9198887556221891,0.034482758620689655,0.035982008995502246,0.019490254872563718,0.0014992503748125937,0.9085457271364318,晚点,0.0619,0.0316,1.48,False,0.1429,0.0722,2.82,True,97,182,1.1015516007992345
2026-W28,2026-07-06,2026-07-12,693,54,0.07792207792207792,0.03607503607503607,114.25,227.2,21.268518518518523,0.9284132756132756,0.031746031746031744,0.03607503607503607,0.005772005772005772,0.004329004329004329,0.922077922077922,晚点,0.1121,0.0222,4.59,True,0.1341,0.0584,3.25,True,107,179,-0.2516678933497954
2026-W29,2026-07-13,2026-07-19,777,59,0.07593307593307594,0.032175032175032175,116.7694915254237,234.4,25.022033898305082,0.9275093951093951,0.023166023166023165,0.032175032175032175,0.01287001287001287,0.007722007722007722,0.924066924066924,晚点,0.0659,0.0277,1.94,False,0.1441,0.0486,4.54,True,91,222,-0.45056809224999356
2026-W30,2026-07-20,2026-07-26,681,57,0.08370044052863436,0.042584434654919234,105.59298245614035,239.3,27.04385964912281,0.9254339207048456,0.016152716593245228,0.042584434654919234,0.01762114537444934,0.007342143906020558,0.9162995594713657,晚点,0.0729,0.0376,1.59,False,0.1481,0.0589,3.76,True,96,189,0.32616836730584853
2026-W31,2026-07-27,2026-08-02,751,48,0.06391478029294274,0.02796271637816245,116.64166666666665,224.7,22.485416666666666,0.9246359520639148,0.019973368841544607,0.02796271637816245,0.010652463382157125,0.005326231691078562,0.9360852197070573,晚点,0.0476,0.024,1.47,False,0.1055,0.0489,2.8,True,126,199,-1.6523976562633131
2026-W32,2026-08-03,2026-08-09,720,68,0.09444444444444444,0.04722222222222222,117.5029411764706,238.6,26.770588235294113,0.9276909722222222,0.02638888888888889,0.04722222222222222,0.013888888888888888,0.006944444444444444,0.9055555555555556,晚点,0.0549,0.0461,0.37,False,0.1805,0.0602,4.98,True,91,205,1.4005687588868567
2026-W33,2026-08-10,2026-08-16,745,55,0.0738255033557047,0.032214765100671144,92.95272727272729,237.0,27.59636363636364,0.9269503355704698,0.016107382550335572,0.032214765100671144,0.021476510067114093,0.004026845637583893,0.9261744966442953,晚点,0.0918,0.0232,3.59,True,0.1346,0.0503,3.95,True,98,208,-0.6613253499871172
2026-W34,2026-08-17,2026-08-23,712,61,0.08567415730337079,0.04353932584269663,121.60163934426232,233.8,23.365573770491807,0.9309141853932585,0.023876404494382022,0.04353932584269663,0.014044943820224719,0.004213483146067416,0.9143258426966292,晚点,0.0763,0.0361,2.04,True,0.1659,0.0519,4.96,True,131,211,0.5235400447794913
2026-W35,2026-08-24,2026-08-29,619,62,0.10016155088852989,0.051696284329563816,116.97096774193545,237.1,24.28548387096774,0.9274536348949919,0.030694668820678513,0.051696284329563816,0.011308562197092083,0.006462035541195477,0.8998384491114702,晚点,0.0549,0.0511,0.15,False,0.1761,0.07,3.97,True,91,176,1.9722794032954016
