date,n_orders_total,n_orders_served,n_orders_unserved,n_trips,total_distance_km,n_ontime,time_window_rate,load_rate_mean,mileage_utilization,diesel_cost,diesel_per_order,ev_cost,ev_per_order
2026-06-01,105,97,8,9,953.094,86,0.8865979381443299,0.5817952380952381,0.5793867131678513,4234.93434,40.332708,3875.3613600000003,36.90820342857143
2026-06-02,91,88,3,9,966.853,75,0.8522727272727273,0.6433793650793651,0.6039149694938113,4250.20683,46.705569560439564,3881.41532,42.6529156043956
2026-06-03,116,108,8,10,1013.313,89,0.8240740740740741,0.6622364285714286,0.5834051275370986,4654.77743,40.127391637931034,4285.85772,36.94704931034483
2026-06-04,107,107,0,11,1137.335,94,0.8785046728971962,0.5441662337662337,0.5602650054733215,5145.44185,48.088241588785046,4724.4274,44.153527102803736
2026-06-05,101,93,8,9,907.255,75,0.8064516129032258,0.6172325396825397,0.5924883301828042,4184.05305,41.42626782178218,3855.1922,38.170219801980195
2026-06-06,107,107,0,9,846.862,97,0.9065420560747663,0.7590746031746032,0.592547546117313,4117.01682,38.47679271028037,3828.6192799999994,35.781488598130835
2026-06-07,119,119,0,13,1196.145,110,0.9243697478991597,0.6420038461538462,0.5789356641544294,5916.72095,49.72034411764706,5518.3038,46.37230084033613
2026-06-08,93,88,5,10,1093.039,75,0.8522727272727273,0.6854235714285715,0.6017772467405097,4743.273290000001,51.00293860215055,4320.93716,46.461689892473125
2026-06-09,95,88,7,9,1029.796,83,0.9431818181818182,0.6202198412698413,0.6218649130507401,4320.07356,45.474458526315786,3909.11024,41.148528842105264
2026-06-10,98,98,0,11,1107.47,86,0.8775510204081632,0.46882337662337664,0.5671404191535664,5112.2917,52.16624183673469,4711.2868,48.07435510204081
2026-06-11,101,94,7,9,989.456,85,0.9042553191489362,0.7975611111111112,0.6127286104687829,4275.29616,42.32966495049505,3891.3606399999994,38.528323168316824
2026-06-12,116,112,4,11,1113.974,87,0.7767857142857143,0.6104142857142857,0.5892686902925921,5119.51114,44.133716724137926,4714.1485600000005,40.63921172413794
2026-06-13,95,92,3,10,1066.426,76,0.8260869565217391,0.6377857142857143,0.5790303312184812,4713.73286,49.61824063157895,4309.22744,45.36028884210526
2026-06-14,104,99,5,12,1310.029,88,0.8888888888888888,0.6929880952380952,0.5798993762733496,5690.13219,54.712809519230774,5184.41276,49.85012269230769
2026-06-15,93,93,0,10,969.755,80,0.8602150537634409,0.7012235714285714,0.5672659589277704,4606.42805,49.531484408602154,4266.6922,45.878410752688175
2026-06-16,104,104,0,9,1017.049,96,0.9230769230769231,0.7900658730158729,0.5994588264675547,4305.92439,41.40311913461539,3903.5015599999997,37.533668846153844
