trip_id,mode,n_stops,n_orders,load_kg,load_rate,distance_km,duration_min,mileage_cost,fixed_cost,trip_cost,plan
diesel-T01,diesel,5,18,1321.8,0.9442,90.98,522.0,100.99,353.0,453.99,baseline
diesel-T02,diesel,5,13,1315.9,0.94,86.23,483.0,95.72,353.0,448.72,baseline
diesel-T03,diesel,5,10,722.0,0.5157,108.5,523.3,120.43,353.0,473.43,baseline
diesel-T04,diesel,3,9,1183.6,0.8454,89.02,468.5,98.81,353.0,451.81,baseline
diesel-T05,diesel,6,17,1248.1,0.8915,110.95,476.3,123.15,353.0,476.15,baseline
diesel-T06,diesel,4,10,1260.7,0.9005,100.34,388.3,111.38,353.0,464.38,baseline
diesel-T07,diesel,6,17,1122.5,0.8018,129.54,440.4,143.79,353.0,496.79,baseline
diesel-T08,diesel,4,13,789.6,0.564,127.07,329.0,141.04,353.0,494.04,baseline
diesel-T09,diesel,2,9,377.4,0.2696,94.28,257.9,104.65,353.0,457.65,baseline
diesel-T10,diesel,3,12,1236.3,0.8831,112.67,280.2,125.06,353.0,478.06,baseline
diesel-T11,diesel,2,4,207.1,0.1479,120.58,212.2,133.84,353.0,486.84,baseline
diesel-T01,diesel,4,9,861.4,0.6153,28.94,338.8,32.13,353.0,385.13,optimized
diesel-T02,diesel,4,11,1258.2,0.8987,29.53,378.9,32.78,353.0,385.78,optimized
diesel-T03,diesel,5,14,861.4,0.6153,116.01,408.9,128.77,353.0,481.77,optimized
diesel-T04,diesel,4,15,904.1,0.6458,97.27,389.0,107.97,353.0,460.97,optimized
diesel-T05,diesel,5,12,1319.7,0.9426,96.94,429.8,107.6,353.0,460.6,optimized
diesel-T06,diesel,5,12,1024.4,0.7317,159.75,488.9,177.32,353.0,530.32,optimized
diesel-T07,diesel,5,17,961.6,0.6869,104.88,415.7,116.42,353.0,469.42,optimized
diesel-T08,diesel,5,19,1028.9,0.7349,127.84,483.0,141.9,353.0,494.9,optimized
diesel-T09,diesel,3,10,1302.6,0.9304,21.02,357.5,23.33,353.0,376.33,optimized
diesel-T10,diesel,5,13,1262.7,0.9019,93.99,470.7,104.32,353.0,457.32,optimized
