rank,sku_id,outbound_lines,share,cum_share,abc_class
1,SKU0145,3322,0.07529294440289205,0.07529294440289205,A
2,SKU0206,2059,0.046667119965549286,0.12196006436844134,A
3,SKU0033,1470,0.03331746787244169,0.15527753224088303,A
4,SKU0332,1109,0.025135423041182204,0.18041295528206525,A
5,SKU0407,963,0.021826341198068946,0.2022392964801342,A
6,SKU0438,818,0.018539924299086602,0.2207792207792208,A
7,SKU0205,739,0.016749393712744497,0.2375286144919653,A
8,SKU0025,626,0.014188255025951361,0.25171686951791666,A
9,SKU0076,577,0.013077672763536639,0.2647945422814533,A
10,SKU0495,575,0.013032342875274813,0.27782688515672815,A
11,SKU0429,515,0.01167244622742005,0.2894993313841482,A
12,SKU0168,489,0.011083157680016319,0.3005824890641645,A
13,SKU0052,440,0.009972575417601595,0.3105550644817661,A
14,SKU0459,438,0.00992724552933977,0.3204823100111059,A
15,SKU0203,400,0.009065977652365087,0.329548287663471,A
16,SKU0317,380,0.008612678769746833,0.3381609664332178,A
17,SKU0421,361,0.008182044831259491,0.3463430112644773,A
18,SKU0257,343,0.007774075836903062,0.35411708710138035,A
19,SKU0455,323,0.007320776954284808,0.36143786405566514,A
20,SKU0249,302,0.006844813127535641,0.3682826771832008,A
21,SKU0153,293,0.0066408286303574265,0.3749235058135582,A
22,SKU0214,280,0.0063461843566555605,0.3812696901702138,A
23,SKU0049,265,0.00600621019469187,0.38727590036490567,A
24,SKU0061,265,0.00600621019469187,0.39328211055959755,A
25,SKU0480,255,0.005779560753382743,0.3990616713129803,A
26,SKU0042,248,0.005620906144466354,0.4046825774574467,A
27,SKU0404,234,0.005303596926633576,0.40998617438408025,A
28,SKU0088,227,0.005144942317717187,0.4151311167017974,A
29,SKU0371,225,0.005099612429455362,0.42023072913125276,A
30,SKU0123,223,0.005054282541193536,0.4252850116724463,A
31,SKU0085,214,0.004850298044015321,0.43013530971646163,A
32,SKU0010,205,0.004646313546837107,0.4347816232632987,A
33,SKU0102,202,0.004578318714444369,0.4393599419777431,A
34,SKU0385,202,0.004578318714444369,0.44393826069218745,A
35,SKU0143,201,0.004555653770313456,0.4484939144625009,A
36,SKU0092,192,0.004351669273135242,0.45284558373563616,A
37,SKU0301,190,0.004306339384873416,0.45715192312050956,A
38,SKU0422,183,0.004147684775957027,0.46129960789646657,A
39,SKU0108,175,0.003966365222909726,0.4652659731193763,A
40,SKU0011,174,0.003943700278778813,0.4692096733981551,A
41,SKU0383,172,0.003898370390516987,0.4731080437886721,A
42,SKU0106,168,0.0038077106139933364,0.4769157544026654,A
43,SKU0274,168,0.0038077106139933364,0.48072346501665875,A
44,SKU0027,162,0.00367172094920786,0.4843951859658666,A
