date,rate,n_records,n_diff
2026-06-01,0.06,50,3
2026-06-02,0.04,50,2
2026-06-03,0.08,50,4
2026-06-04,0.02,50,1
2026-06-05,0.02,50,1
2026-06-06,0.08,50,4
2026-06-07,0.06,50,3
2026-06-08,0.06,50,3
2026-06-09,0.08,50,4
2026-06-10,0.12,50,6
2026-06-11,0.06,50,3
2026-06-12,0.04,50,2
2026-06-13,0.0,50,0
2026-06-14,0.08,50,4
2026-06-15,0.06,50,3
2026-06-16,0.06,50,3
2026-06-17,0.04,50,2
2026-06-18,0.02,50,1
2026-06-19,0.02,50,1
2026-06-20,0.06,50,3
2026-06-21,0.08,50,4
2026-06-22,0.08,50,4
2026-06-23,0.08,50,4
2026-06-24,0.06,50,3
2026-06-25,0.04,50,2
2026-06-26,0.08,50,4
2026-06-27,0.06,50,3
2026-06-28,0.06,50,3
2026-06-29,0.04,50,2
2026-06-30,0.14,50,7
2026-07-01,0.02,50,1
2026-07-02,0.08,50,4
2026-07-03,0.04,50,2
2026-07-04,0.02,50,1
2026-07-05,0.02,50,1
2026-07-06,0.0,50,0
2026-07-07,0.0,50,0
2026-07-08,0.04,50,2
2026-07-09,0.06,50,3
2026-07-10,0.08,50,4
2026-07-11,0.08,50,4
2026-07-12,0.04,50,2
2026-07-13,0.04,50,2
2026-07-14,0.02,50,1
2026-07-15,0.14,50,7
2026-07-16,0.06,50,3
2026-07-17,0.0,50,0
2026-07-18,0.12,50,6
2026-07-19,0.06,50,3
2026-07-20,0.08,50,4
2026-07-21,0.06,50,3
2026-07-22,0.08,50,4
2026-07-23,0.04,50,2
2026-07-24,0.06,50,3
2026-07-25,0.1,50,5
2026-07-26,0.1,50,5
2026-07-27,0.02,50,1
2026-07-28,0.04,50,2
2026-07-29,0.02,50,1
2026-07-30,0.04,50,2
2026-07-31,0.1,50,5
2026-08-01,0.04,50,2
2026-08-02,0.12,50,6
2026-08-03,0.04,50,2
2026-08-04,0.02,50,1
2026-08-05,0.04,50,2
2026-08-06,0.04,50,2
2026-08-07,0.06,50,3
2026-08-08,0.02,50,1
2026-08-09,0.0,50,0
2026-08-10,0.0,50,0
2026-08-11,0.02,50,1
2026-08-12,0.06,50,3
2026-08-13,0.04,50,2
2026-08-14,0.06,50,3
2026-08-15,0.04,50,2
2026-08-16,0.04,50,2
2026-08-17,0.04,50,2
2026-08-18,0.06,50,3
2026-08-19,0.04,50,2
2026-08-20,0.08,50,4
2026-08-21,0.04,50,2
2026-08-22,0.06,50,3
2026-08-23,0.04,50,2
2026-08-24,0.04,50,2
2026-08-25,0.08,50,4
2026-08-26,0.04,50,2
2026-08-27,0.06,50,3
2026-08-28,0.06,50,3
2026-08-29,0.04,50,2
