sku_id,outbound_lines,walk_dist_before_m,walk_dist_after_m,loc_id_after
SKU0145,3322.0,120.0,4.5,L0001
SKU0206,2059.0,117.0,6.0,L0002
SKU0033,1470.0,115.5,7.5,L0003
SKU0332,1109.0,115.5,9.0,L0004
SKU0407,963.0,114.0,10.5,L0005
SKU0438,818.0,112.5,10.5,L0043
SKU0205,739.0,112.5,12.0,L0044
SKU0025,626.0,111.0,12.0,L0082
SKU0076,577.0,111.0,13.5,L0083
SKU0495,575.0,111.0,13.5,L0045
SKU0429,515.0,109.5,15.0,L0084
SKU0168,489.0,108.0,15.0,L0122
SKU0052,440.0,109.5,15.0,L0046
SKU0459,438.0,108.0,16.5,L0161
SKU0203,400.0,108.0,16.5,L0085
SKU0317,380.0,106.5,16.5,L0047
SKU0421,361.0,106.5,18.0,L0010
SKU0257,343.0,106.5,18.0,L0048
SKU0455,323.0,106.5,18.0,L0162
SKU0249,302.0,105.0,19.5,L0201
SKU0153,293.0,103.5,19.5,L0125
SKU0214,280.0,105.0,19.5,L0049
SKU0049,265.0,103.5,19.5,L0087
SKU0061,265.0,105.0,21.0,L0202
SKU0480,255.0,103.5,21.0,L0126
SKU0042,248.0,103.5,21.0,L0164
SKU0404,234.0,102.0,21.0,L0050
SKU0088,227.0,102.0,22.5,L0051
SKU0371,225.0,100.5,22.5,L0089
SKU0123,223.0,102.0,22.5,L0127
SKU0085,214.0,100.5,22.5,L0013
SKU0010,205.0,102.0,24.0,L0014
SKU0102,202.0,99.0,24.0,L0204
SKU0385,202.0,100.5,24.0,L0128
SKU0143,201.0,100.5,24.0,L0090
SKU0092,192.0,100.5,25.5,L0243
SKU0301,190.0,99.0,25.5,L0167
SKU0422,183.0,96.0,25.5,L0129
SKU0108,175.0,99.0,25.5,L0053
SKU0011,174.0,99.0,25.5,L0205
SKU0383,172.0,97.5,27.0,L0282
SKU0106,168.0,96.0,27.0,L0244
SKU0274,168.0,97.5,27.0,L0092
SKU0027,162.0,99.0,27.0,L0016
SKU0441,162.0,97.5,27.0,L0168
SKU0162,161.0,97.5,28.5,L0017
SKU0284,161.0,96.0,28.5,L0055
SKU0199,153.0,96.0,28.5,L0093
SKU0398,151.0,97.5,28.5,L0207
SKU0264,148.0,93.0,28.5,L0283
SKU0059,145.0,94.5,28.5,L0321
SKU0287,140.0,94.5,30.0,L0322
SKU0456,139.0,94.5,30.0,L0284
SKU0116,138.0,94.5,30.0,L0018
SKU0350,138.0,94.5,30.0,L0246
SKU0089,137.0,94.5,30.0,L0094
SKU0198,133.0,93.0,30.0,L0132
SKU0388,132.0,96.0,31.5,L0019
SKU0261,130.0,91.5,31.5,L0247
SKU0379,127.0,93.0,31.5,L0133
SKU0451,127.0,93.0,31.5,L0361
SKU0002,125.0,91.5,31.5,L0209
SKU0348,125.0,91.5,31.5,L0285
SKU0045,124.0,93.0,33.0,L0172
SKU0357,124.0,91.5,33.0,L0248
SKU0389,124.0,91.5,33.0,L0020
SKU0192,123.0,88.5,33.0,L0134
SKU0081,120.0,90.0,33.0,L0210
SKU0409,120.0,91.5,33.0,L0362
SKU0232,119.0,93.0,34.5,L0173
SKU0432,117.0,90.0,34.5,L0021
SKU0270,111.0,91.5,34.5,L0287
SKU0354,108.0,90.0,34.5,L0363
SKU0005,107.0,84.0,34.5,L0401
SKU0140,106.0,90.0,34.5,L0211
SKU0316,104.0,90.0,34.5,L0097
SKU0070,103.0,87.0,36.0,L0288
SKU0279,103.0,82.5,36.0,L0060
SKU0483,103.0,88.5,36.0,L0136
SKU0064,102.0,88.5,36.0,L0098
SKU0142,102.0,88.5,36.0,L0364
SKU0417,102.0,87.0,36.0,L0402
SKU0001,100.0,87.0,36.0,L0212
SKU0419,100.0,88.5,37.5,L0213
SKU0060,97.0,87.0,37.5,L0403
SKU0351,97.0,85.5,37.5,L0175
SKU0147,95.0,85.5,37.5,L0099
SKU0306,95.0,87.0,37.5,L0327
SKU0204,94.0,87.0,37.5,L0061
SKU0197,93.0,88.5,37.5,L0441
SKU0337,93.0,88.5,39.0,L0404
SKU0030,92.0,84.0,39.0,L0062
SKU0129,91.0,90.0,39.0,L0290
SKU0044,90.0,85.5,39.0,L0024
SKU0139,90.0,84.0,39.0,L0442
SKU0191,90.0,81.0,39.0,L0366
SKU0471,90.0,84.0,39.0,L0328
SKU0426,89.0,87.0,39.0,L0252
SKU0245,88.0,85.5,40.5,L0025
SKU0163,87.0,82.5,40.5,L0291
SKU0047,86.0,82.5,40.5,L0329
SKU0159,86.0,79.5,40.5,L0481
SKU0338,86.0,85.5,40.5,L0063
SKU0036,85.0,84.0,40.5,L0253
SKU0283,84.0,81.0,40.5,L0139
SKU0427,83.0,84.0,40.5,L0367
SKU0468,83.0,87.0,42.0,L0368
SKU0098,82.0,85.5,42.0,L0482
SKU0201,81.0,84.0,42.0,L0026
SKU0355,80.0,82.5,42.0,L0140
