date,sku_id,loc_id,book_qty,physical_qty,diff_qty,diff_type
2026-06-01,SKU0142,L0741,50,50,0,无差异
2026-06-01,SKU0338,L0625,37,37,0,无差异
2026-06-01,SKU0477,L0321,16,16,0,无差异
2026-06-01,SKU0132,L0602,37,37,0,无差异
2026-06-01,SKU0334,L0074,19,19,0,无差异
2026-06-01,SKU0480,L0789,127,127,0,无差异
2026-06-01,SKU0488,L0191,29,29,0,无差异
2026-06-01,SKU0019,L0761,29,29,0,无差异
2026-06-01,SKU0494,L0347,30,30,0,无差异
2026-06-01,SKU0099,L0025,33,33,0,无差异
2026-06-01,SKU0283,L0698,58,59,1,盘盈
2026-06-01,SKU0443,L0302,27,27,0,无差异
2026-06-01,SKU0366,L0064,34,34,0,无差异
2026-06-01,SKU0276,L0034,21,21,0,无差异
2026-06-01,SKU0340,L0604,26,26,0,无差异
2026-06-01,SKU0011,L0596,92,92,0,无差异
2026-06-01,SKU0363,L0614,28,28,0,无差异
2026-06-01,SKU0414,L0766,34,34,0,无差异
2026-06-01,SKU0219,L0492,25,25,0,无差异
2026-06-01,SKU0455,L0639,165,165,0,无差异
2026-06-01,SKU0332,L0759,509,509,0,无差异
2026-06-01,SKU0279,L0775,44,44,0,无差异
2026-06-01,SKU0161,L0159,34,34,0,无差异
2026-06-01,SKU0322,L0489,26,26,0,无差异
2026-06-01,SKU0127,L0033,26,26,0,无差异
2026-06-01,SKU0390,L0651,27,27,0,无差异
2026-06-01,SKU0063,L0460,31,31,0,无差异
2026-06-01,SKU0144,L0354,41,41,0,无差异
2026-06-01,SKU0454,L0445,24,24,0,无差异
2026-06-01,SKU0153,L0713,122,122,0,无差异
2026-06-01,SKU0045,L0668,68,68,0,无差异
2026-06-01,SKU0192,L0475,58,55,-3,盘亏
2026-06-01,SKU0284,L0518,78,78,0,无差异
2026-06-01,SKU0084,L0736,41,41,0,无差异
2026-06-01,SKU0015,L0454,41,41,0,无差异
2026-06-01,SKU0499,L0212,21,21,0,无差异
2026-06-01,SKU0150,L0180,24,24,0,无差异
2026-06-01,SKU0061,L0714,136,136,0,无差异
2026-06-01,SKU0021,L0482,39,39,0,无差异
2026-06-01,SKU0425,L0219,35,30,-5,盘亏
2026-06-01,SKU0115,L0306,23,23,0,无差异
2026-06-01,SKU0474,L0431,43,43,0,无差异
2026-06-01,SKU0362,L0134,34,34,0,无差异
2026-06-01,SKU0364,L0691,31,31,0,无差异
2026-06-01,SKU0492,L0408,24,24,0,无差异
2026-06-01,SKU0268,L0175,36,36,0,无差异
2026-06-01,SKU0486,L0046,19,19,0,无差异
2026-06-01,SKU0211,L0329,23,23,0,无差异
2026-06-01,SKU0215,L0146,26,26,0,无差异
2026-06-01,SKU0307,L0257,38,38,0,无差异
2026-06-02,SKU0083,L0014,26,26,0,无差异
2026-06-02,SKU0331,L0369,38,38,0,无差异
2026-06-02,SKU0105,L0010,21,21,0,无差异
2026-06-02,SKU0288,L0197,50,50,0,无差异
2026-06-02,SKU0157,L0616,52,52,0,无差异
2026-06-02,SKU0334,L0074,19,19,0,无差异
2026-06-02,SKU0427,L0434,46,46,0,无差异
2026-06-02,SKU0488,L0191,44,44,0,无差异
2026-06-02,SKU0136,L0225,35,35,0,无差异
2026-06-02,SKU0464,L0132,33,33,0,无差异
2026-06-02,SKU0077,L0524,21,21,0,无差异
2026-06-02,SKU0084,L0736,41,41,0,无差异
2026-06-02,SKU0409,L0705,60,60,0,无差异
2026-06-02,SKU0182,L0258,25,25,0,无差异
2026-06-02,SKU0467,L0532,46,46,0,无差异
2026-06-02,SKU0441,L0633,114,114,0,无差异
2026-06-02,SKU0188,L0331,21,21,0,无差异
2026-06-02,SKU0245,L0359,41,41,0,无差异
2026-06-02,SKU0176,L0613,22,22,0,无差异
2026-06-02,SKU0169,L0105,24,24,0,无差异
2026-06-02,SKU0185,L0375,40,40,0,无差异
2026-06-02,SKU0428,L0227,38,38,0,无差异
2026-06-02,SKU0296,L0446,24,24,0,无差异
2026-06-02,SKU0298,L0236,33,33,0,无差异
2026-06-02,SKU0034,L0660,46,46,0,无差异
2026-06-02,SKU0026,L0284,32,32,0,无差异
2026-06-02,SKU0321,L0452,22,22,0,无差异
2026-06-02,SKU0121,L0622,30,30,0,无差异
2026-06-02,SKU0262,L0136,23,23,0,无差异
2026-06-02,SKU0187,L0290,23,23,0,无差异
2026-06-02,SKU0265,L0244,22,22,0,无差异
2026-06-02,SKU0397,L0656,43,43,0,无差异
2026-06-02,SKU0297,L0481,19,19,0,无差异
2026-06-02,SKU0097,L0133,35,35,0,无差异
2026-06-02,SKU0497,L0362,20,20,0,无差异
2026-06-02,SKU0415,L0652,34,34,0,无差异
2026-06-02,SKU0384,L0381,41,41,0,无差异
2026-06-02,SKU0134,L0018,35,35,0,无差异
2026-06-02,SKU0209,L0337,37,37,0,无差异
2026-06-02,SKU0290,L0327,17,15,-2,盘亏
2026-06-02,SKU0253,L0148,21,21,0,无差异
2026-06-02,SKU0118,L0017,28,28,0,无差异
2026-06-02,SKU0076,L0680,392,392,0,无差异
2026-06-02,SKU0382,L0441,23,23,0,无差异
2026-06-02,SKU0420,L0332,21,19,-2,盘亏
2026-06-02,SKU0277,L0092,31,31,0,无差异
2026-06-02,SKU0215,L0146,22,22,0,无差异
2026-06-02,SKU0101,L0316,36,36,0,无差异
2026-06-02,SKU0108,L0786,89,89,0,无差异
2026-06-02,SKU0207,L0573,49,49,0,无差异
2026-06-03,SKU0440,L0697,54,54,0,无差异
2026-06-03,SKU0159,L0355,43,43,0,无差异
2026-06-03,SKU0253,L0148,35,34,-1,盘亏
2026-06-03,SKU0254,L0363,18,20,2,盘盈
2026-06-03,SKU0113,L0145,10,10,0,无差异
2026-06-03,SKU0224,L0422,51,51,0,无差异
2026-06-03,SKU0171,L0374,35,35,0,无差异
2026-06-03,SKU0443,L0302,44,44,0,无差异
2026-06-03,SKU0305,L0142,35,35,0,无差异
2026-06-03,SKU0315,L0020,35,35,0,无差异
2026-06-03,SKU0309,L0211,23,23,0,无差异
2026-06-03,SKU0265,L0244,22,22,0,无差异
2026-06-03,SKU0336,L0185,39,39,0,无差异
2026-06-03,SKU0117,L0173,35,35,0,无差异
2026-06-03,SKU0222,L0508,38,43,5,盘盈
2026-06-03,SKU0197,L0399,47,47,0,无差异
2026-06-03,SKU0436,L0462,38,38,0,无差异
2026-06-03,SKU0360,L0768,49,49,0,无差异
2026-06-03,SKU0376,L0271,42,42,0,无差异
2026-06-03,SKU0217,L0238,32,32,0,无差异
2026-06-03,SKU0256,L0104,24,24,0,无差异
2026-06-03,SKU0180,L0429,35,35,0,无差异
2026-06-03,SKU0047,L0509,46,46,0,无差异
2026-06-03,SKU0262,L0136,22,22,0,无差异
