loc_id,row,col,zone,walk_dist_m
L0001,1,1,Z1,4.5
L0002,1,2,Z1,6.0
L0003,1,3,Z1,7.5
L0004,1,4,Z1,9.0
L0005,1,5,Z1,10.5
L0006,1,6,Z1,12.0
L0007,1,7,Z1,13.5
L0008,1,8,Z1,15.0
L0009,1,9,Z1,16.5
L0010,1,10,Z1,18.0
L0011,1,11,Z1,19.5
L0012,1,12,Z1,21.0
L0013,1,13,Z1,22.5
L0014,1,14,Z1,24.0
L0015,1,15,Z1,25.5
L0016,1,16,Z1,27.0
L0017,1,17,Z1,28.5
L0018,1,18,Z1,30.0
L0019,1,19,Z1,31.5
L0020,1,20,Z1,33.0
L0021,1,21,Z1,34.5
L0022,1,22,Z1,36.0
L0023,1,23,Z1,37.5
L0024,1,24,Z1,39.0
L0025,1,25,Z1,40.5
L0026,1,26,Z1,42.0
L0027,1,27,Z1,43.5
L0028,1,28,Z1,45.0
L0029,1,29,Z1,46.5
L0030,1,30,Z1,48.0
L0031,1,31,Z1,49.5
L0032,1,32,Z1,51.0
L0033,1,33,Z1,52.5
L0034,1,34,Z1,54.0
L0035,1,35,Z1,55.5
L0036,1,36,Z1,57.0
L0037,1,37,Z1,58.5
L0038,1,38,Z1,60.0
L0039,1,39,Z1,61.5
L0040,1,40,Z1,63.0
L0041,2,1,Z1,7.5
L0042,2,2,Z1,9.0
L0043,2,3,Z1,10.5
L0044,2,4,Z1,12.0
L0045,2,5,Z1,13.5
L0046,2,6,Z1,15.0
L0047,2,7,Z1,16.5
L0048,2,8,Z1,18.0
L0049,2,9,Z1,19.5
L0050,2,10,Z1,21.0
L0051,2,11,Z1,22.5
L0052,2,12,Z1,24.0
L0053,2,13,Z1,25.5
L0054,2,14,Z1,27.0
L0055,2,15,Z1,28.5
L0056,2,16,Z1,30.0
L0057,2,17,Z1,31.5
L0058,2,18,Z1,33.0
L0059,2,19,Z1,34.5
L0060,2,20,Z1,36.0
L0061,2,21,Z1,37.5
L0062,2,22,Z1,39.0
L0063,2,23,Z1,40.5
L0064,2,24,Z1,42.0
L0065,2,25,Z1,43.5
L0066,2,26,Z1,45.0
L0067,2,27,Z1,46.5
L0068,2,28,Z1,48.0
L0069,2,29,Z1,49.5
L0070,2,30,Z1,51.0
L0071,2,31,Z1,52.5
L0072,2,32,Z1,54.0
L0073,2,33,Z1,55.5
L0074,2,34,Z1,57.0
L0075,2,35,Z1,58.5
L0076,2,36,Z1,60.0
L0077,2,37,Z1,61.5
L0078,2,38,Z1,63.0
L0079,2,39,Z1,64.5
L0080,2,40,Z1,66.0
L0081,3,1,Z1,10.5
L0082,3,2,Z1,12.0
L0083,3,3,Z1,13.5
L0084,3,4,Z1,15.0
L0085,3,5,Z1,16.5
L0086,3,6,Z1,18.0
L0087,3,7,Z1,19.5
L0088,3,8,Z1,21.0
L0089,3,9,Z1,22.5
L0090,3,10,Z1,24.0
L0091,3,11,Z1,25.5
L0092,3,12,Z1,27.0
L0093,3,13,Z1,28.5
L0094,3,14,Z1,30.0
L0095,3,15,Z1,31.5
L0096,3,16,Z1,33.0
L0097,3,17,Z1,34.5
L0098,3,18,Z1,36.0
L0099,3,19,Z1,37.5
L0100,3,20,Z1,39.0
L0101,3,21,Z1,40.5
L0102,3,22,Z1,42.0
L0103,3,23,Z1,43.5
L0104,3,24,Z1,45.0
L0105,3,25,Z1,46.5
L0106,3,26,Z1,48.0
L0107,3,27,Z1,49.5
L0108,3,28,Z1,51.0
L0109,3,29,Z1,52.5
L0110,3,30,Z1,54.0
L0111,3,31,Z1,55.5
L0112,3,32,Z1,57.0
L0113,3,33,Z1,58.5
L0114,3,34,Z1,60.0
L0115,3,35,Z1,61.5
L0116,3,36,Z1,63.0
L0117,3,37,Z1,64.5
L0118,3,38,Z1,66.0
L0119,3,39,Z1,67.5
L0120,3,40,Z1,69.0
L0121,4,1,Z1,13.5
L0122,4,2,Z1,15.0
L0123,4,3,Z1,16.5
L0124,4,4,Z1,18.0
L0125,4,5,Z1,19.5
L0126,4,6,Z1,21.0
L0127,4,7,Z1,22.5
L0128,4,8,Z1,24.0
L0129,4,9,Z1,25.5
L0130,4,10,Z1,27.0
L0131,4,11,Z1,28.5
L0132,4,12,Z1,30.0
L0133,4,13,Z1,31.5
L0134,4,14,Z1,33.0
L0135,4,15,Z1,34.5
L0136,4,16,Z1,36.0
L0137,4,17,Z1,37.5
L0138,4,18,Z1,39.0
L0139,4,19,Z1,40.5
L0140,4,20,Z1,42.0
L0141,4,21,Z1,43.5
L0142,4,22,Z1,45.0
L0143,4,23,Z1,46.5
L0144,4,24,Z1,48.0
L0145,4,25,Z1,49.5
L0146,4,26,Z1,51.0
L0147,4,27,Z1,52.5
L0148,4,28,Z1,54.0
L0149,4,29,Z1,55.5
L0150,4,30,Z1,57.0
L0151,4,31,Z1,58.5
L0152,4,32,Z1,60.0
L0153,4,33,Z1,61.5
L0154,4,34,Z1,63.0
L0155,4,35,Z1,64.5
L0156,4,36,Z1,66.0
L0157,4,37,Z1,67.5
L0158,4,38,Z1,69.0
L0159,4,39,Z1,70.5
L0160,4,40,Z1,72.0
L0161,5,1,Z1,16.5
L0162,5,2,Z1,18.0
L0163,5,3,Z1,19.5
L0164,5,4,Z1,21.0
L0165,5,5,Z1,22.5
L0166,5,6,Z1,24.0
L0167,5,7,Z1,25.5
L0168,5,8,Z1,27.0
L0169,5,9,Z1,28.5
L0170,5,10,Z1,30.0
L0171,5,11,Z1,31.5
L0172,5,12,Z1,33.0
L0173,5,13,Z1,34.5
L0174,5,14,Z1,36.0
L0175,5,15,Z1,37.5
L0176,5,16,Z1,39.0
L0177,5,17,Z1,40.5
L0178,5,18,Z1,42.0
L0179,5,19,Z1,43.5
L0180,5,20,Z1,45.0
L0181,5,21,Z1,46.5
L0182,5,22,Z1,48.0
L0183,5,23,Z1,49.5
L0184,5,24,Z1,51.0
L0185,5,25,Z1,52.5
L0186,5,26,Z1,54.0
L0187,5,27,Z1,55.5
L0188,5,28,Z1,57.0
L0189,5,29,Z1,58.5
L0190,5,30,Z1,60.0
L0191,5,31,Z1,61.5
L0192,5,32,Z1,63.0
L0193,5,33,Z1,64.5
L0194,5,34,Z1,66.0
L0195,5,35,Z1,67.5
L0196,5,36,Z1,69.0
L0197,5,37,Z1,70.5
L0198,5,38,Z1,72.0
L0199,5,39,Z1,73.5
L0200,5,40,Z1,75.0
L0201,6,1,Z2,19.5
L0202,6,2,Z2,21.0
L0203,6,3,Z2,22.5
L0204,6,4,Z2,24.0
L0205,6,5,Z2,25.5
L0206,6,6,Z2,27.0
L0207,6,7,Z2,28.5
L0208,6,8,Z2,30.0
L0209,6,9,Z2,31.5
L0210,6,10,Z2,33.0
L0211,6,11,Z2,34.5
L0212,6,12,Z2,36.0
L0213,6,13,Z2,37.5
L0214,6,14,Z2,39.0
L0215,6,15,Z2,40.5
L0216,6,16,Z2,42.0
L0217,6,17,Z2,43.5
L0218,6,18,Z2,45.0
L0219,6,19,Z2,46.5
L0220,6,20,Z2,48.0
L0221,6,21,Z2,49.5
L0222,6,22,Z2,51.0
L0223,6,23,Z2,52.5
