sku_id,loc_id
SKU0001,L0588
SKU0002,L0781
SKU0003,L0288
SKU0004,L0693
SKU0005,L0358
SKU0006,L0608
SKU0007,L0395
SKU0008,L0763
SKU0009,L0230
SKU0010,L0598
SKU0011,L0596
SKU0012,L0322
SKU0013,L0567
SKU0014,L0531
SKU0015,L0454
SKU0016,L0762
SKU0017,L0368
SKU0018,L0493
SKU0019,L0761
SKU0020,L0222
SKU0021,L0482
SKU0022,L0026
SKU0023,L0404
SKU0024,L0072
SKU0025,L0718
SKU0026,L0284
SKU0027,L0558
SKU0028,L0243
SKU0029,L0681
SKU0030,L0510
SKU0031,L0690
SKU0032,L0066
SKU0033,L0797
SKU0034,L0660
SKU0035,L0314
SKU0036,L0624
SKU0037,L0213
SKU0038,L0487
SKU0039,L0724
SKU0040,L0534
SKU0041,L0143
SKU0042,L0675
SKU0043,L0001
SKU0044,L0587
SKU0045,L0668
SKU0046,L0764
SKU0047,L0509
SKU0048,L0065
SKU0049,L0751
SKU0050,L0051
SKU0051,L0344
SKU0052,L0793
SKU0053,L0149
SKU0054,L0686
SKU0055,L0239
SKU0056,L0618
SKU0057,L0574
SKU0058,L0182
SKU0059,L0783
SKU0060,L0512
SKU0061,L0714
SKU0062,L0144
SKU0063,L0460
SKU0064,L0513
SKU0065,L0721
SKU0066,L0525
SKU0067,L0002
SKU0068,L0572
SKU0069,L0416
SKU0070,L0664
SKU0071,L0113
SKU0072,L0507
SKU0073,L0179
SKU0074,L0425
SKU0075,L0089
SKU0076,L0680
SKU0077,L0524
SKU0078,L0019
SKU0079,L0646
SKU0080,L0737
SKU0081,L0438
SKU0082,L0194
SKU0083,L0014
SKU0084,L0736
SKU0085,L0711
SKU0086,L0044
SKU0087,L0388
SKU0088,L0750
SKU0089,L0707
SKU0090,L0247
SKU0091,L0617
SKU0092,L0749
SKU0093,L0657
SKU0094,L0140
SKU0095,L0535
SKU0096,L0167
SKU0097,L0133
SKU0098,L0473
SKU0099,L0025
SKU0100,L0228
SKU0101,L0316
SKU0102,L0634
SKU0103,L0201
SKU0104,L0161
SKU0105,L0010
SKU0106,L0632
SKU0107,L0060
SKU0108,L0786
SKU0109,L0178
SKU0110,L0151
SKU0111,L0701
SKU0112,L0526
SKU0113,L0145
SKU0114,L0385
SKU0115,L0306
SKU0116,L0631
SKU0117,L0173
SKU0118,L0017
SKU0119,L0468
SKU0120,L0605
SKU0121,L0622
SKU0122,L0317
SKU0123,L0560
SKU0124,L0444
SKU0125,L0377
SKU0126,L0200
SKU0127,L0033
SKU0128,L0571
SKU0129,L0742
SKU0130,L0647
SKU0131,L0172
SKU0132,L0602
SKU0133,L0349
SKU0134,L0018
SKU0135,L0202
SKU0136,L0225
SKU0137,L0371
SKU0138,L0335
SKU0139,L0662
SKU0140,L0514
SKU0141,L0110
SKU0142,L0741
SKU0143,L0673
SKU0144,L0354
SKU0145,L0800
SKU0146,L0544
SKU0147,L0739
SKU0148,L0307
SKU0149,L0108
SKU0150,L0180
SKU0151,L0062
SKU0152,L0126
SKU0153,L0713
SKU0154,L0380
SKU0155,L0569
SKU0156,L0611
SKU0157,L0616
SKU0158,L0107
SKU0159,L0355
SKU0160,L0411
SKU0161,L0159
SKU0162,L0785
SKU0163,L0585
SKU0164,L0082
SKU0165,L0291
SKU0166,L0118
SKU0167,L0298
SKU0168,L0792
SKU0169,L0105
SKU0170,L0224
SKU0171,L0374
SKU0172,L0254
SKU0173,L0116
SKU0174,L0248
SKU0175,L0021
SKU0176,L0613
SKU0177,L0085
SKU0178,L0528
SKU0179,L0311
SKU0180,L0429
SKU0181,L0275
SKU0182,L0258
SKU0183,L0129
SKU0184,L0235
SKU0185,L0375
SKU0186,L0039
SKU0187,L0290
SKU0188,L0331
SKU0189,L0523
SKU0190,L0606
SKU0191,L0432
SKU0192,L0475
SKU0193,L0343
SKU0194,L0073
SKU0195,L0055
SKU0196,L0580
SKU0197,L0399
SKU0198,L0478
SKU0199,L0594
SKU0200,L0403
SKU0201,L0548
SKU0202,L0733
SKU0203,L0640
SKU0204,L0740
SKU0205,L0795
SKU0206,L0760
SKU0207,L0573
SKU0208,L0540
SKU0209,L0337
SKU0210,L0730
SKU0211,L0329
SKU0212,L0024
SKU0213,L0040
SKU0214,L0676
SKU0215,L0146
SKU0216,L0464
SKU0217,L0238
SKU0218,L0318
SKU0219,L0492
SKU0220,L0282
SKU0221,L0315
SKU0222,L0508
SKU0223,L0565
SKU0224,L0422
SKU0225,L0005
SKU0226,L0293
SKU0227,L0621
SKU0228,L0276
SKU0229,L0459
SKU0230,L0699
SKU0231,L0272
SKU0232,L0630
SKU0233,L0075
SKU0234,L0682
SKU0235,L0642
SKU0236,L0442
SKU0237,L0184
SKU0238,L0421
SKU0239,L0342
SKU0240,L0287
SKU0241,L0112
SKU0242,L0154
SKU0243,L0156
SKU0244,L0125
SKU0245,L0359
SKU0246,L0352
SKU0247,L0048
SKU0248,L0373
SKU0249,L0790
SKU0250,L0223
SKU0251,L0538
SKU0252,L0650
SKU0253,L0148
SKU0254,L0363
SKU0255,L0027
SKU0256,L0104
SKU0257,L0715
SKU0258,L0084
SKU0259,L0695
SKU0260,L0119
SKU0261,L0591
SKU0262,L0136
SKU0263,L0735
SKU0264,L0592
SKU0265,L0244
SKU0266,L0164
SKU0267,L0581
SKU0268,L0175
SKU0269,L0147
SKU0270,L0553
SKU0271,L0246
SKU0272,L0093
SKU0273,L0301
