sku_id,category,unit_price,weight_kg,volume_m3,abc_initial_label
SKU0001,P01,29.47,2.98,0.0103,A
SKU0002,P08,56.7,1.74,0.0105,A
SKU0003,P07,78.4,7.4,0.0219,C
SKU0004,P05,62.51,1.33,0.0068,B
SKU0005,P05,32.52,5.54,0.0313,A
SKU0006,P09,123.28,1.12,0.0037,B
SKU0007,P01,108.41,1.89,0.0066,A
SKU0008,P07,52.81,0.76,0.0048,B
SKU0009,P03,35.59,3.01,0.0104,B
SKU0010,P01,93.05,7.34,0.0302,A
SKU0011,P06,69.74,1.87,0.0077,A
SKU0012,P10,18.84,1.68,0.0057,C
SKU0013,P08,56.82,0.73,0.004,B
SKU0014,P08,73.99,1.63,0.0089,B
SKU0015,P08,29.21,0.48,0.0019,B
SKU0016,P08,69.84,0.88,0.0051,B
SKU0017,P06,18.74,2.45,0.008,C
SKU0018,P02,174.74,6.56,0.0159,B
SKU0019,P09,162.83,25.06,0.1174,B
SKU0020,P05,49.03,1.18,0.0075,B
SKU0021,P06,80.25,7.28,0.0186,C
SKU0022,P04,8.73,2.49,0.008,C
SKU0023,P02,23.79,1.75,0.0078,C
SKU0024,P10,47.43,2.95,0.0166,B
SKU0025,P08,25.45,2.11,0.0058,A
SKU0026,P07,106.26,2.21,0.0088,C
SKU0027,P05,296.54,1.38,0.0074,A
SKU0028,P09,23.41,0.57,0.0022,C
SKU0029,P06,30.7,0.5,0.0016,B
SKU0030,P05,72.44,3.6,0.0115,A
SKU0031,P05,217.73,1.56,0.0063,B
SKU0032,P03,22.57,1.17,0.0051,C
SKU0033,P01,73.23,2.02,0.0118,A
SKU0034,P06,257.59,4.09,0.0203,A
SKU0035,P09,16.01,2.35,0.0121,B
SKU0036,P01,21.53,1.11,0.007,A
SKU0037,P09,42.75,6.03,0.0244,C
SKU0038,P09,39.56,8.28,0.0332,C
SKU0039,P03,114.94,3.12,0.019,B
SKU0040,P07,72.8,4.8,0.0162,B
SKU0041,P02,14.5,6.12,0.0326,C
SKU0042,P08,90.62,5.53,0.03,A
SKU0043,P08,37.8,3.48,0.0097,C
SKU0044,P04,166.32,3.43,0.0147,A
SKU0045,P01,36.32,3.19,0.0102,A
SKU0046,P10,36.06,0.74,0.0023,B
SKU0047,P05,92.5,3.76,0.016,A
SKU0048,P09,110.46,0.59,0.0021,C
SKU0049,P07,85.87,0.98,0.0055,A
SKU0050,P08,15.58,6.46,0.039,C
SKU0051,P08,92.27,4.26,0.0239,B
SKU0052,P02,26.23,7.63,0.0264,A
SKU0053,P04,72.43,1.57,0.0055,B
SKU0054,P05,19.21,0.71,0.0024,B
SKU0055,P05,85.75,1.61,0.0047,B
SKU0056,P01,31.47,2.19,0.0135,B
SKU0057,P06,21.5,2.15,0.0086,B
SKU0058,P02,106.21,5.55,0.0183,C
SKU0059,P08,72.8,1.44,0.0083,A
SKU0060,P07,36.71,2.75,0.011,A
SKU0061,P10,191.58,0.82,0.0021,A
SKU0062,P08,42.17,3.0,0.0091,C
SKU0063,P04,61.56,2.01,0.01,B
SKU0064,P10,74.4,1.02,0.0056,A
SKU0065,P05,36.55,1.62,0.0053,B
SKU0066,P04,87.47,1.69,0.0103,C
SKU0067,P10,39.16,1.57,0.0091,C
SKU0068,P04,43.17,9.85,0.0571,B
SKU0069,P01,178.48,1.83,0.0061,B
SKU0070,P05,26.1,1.61,0.0042,A
SKU0071,P08,8.71,0.3,0.0018,B
SKU0072,P02,217.69,0.89,0.0032,A
SKU0073,P05,461.19,1.58,0.0077,C
SKU0074,P02,43.39,1.08,0.0059,B
SKU0075,P07,12.74,6.94,0.0202,C
SKU0076,P05,46.8,1.72,0.0095,A
SKU0077,P04,47.72,6.38,0.0393,C
SKU0078,P03,51.54,2.11,0.0112,C
SKU0079,P06,24.62,2.07,0.0086,B
SKU0080,P07,95.39,1.85,0.0109,A
SKU0081,P10,91.28,2.01,0.0091,A
SKU0082,P05,18.15,9.39,0.0505,B
SKU0083,P02,104.97,0.25,0.0014,C
SKU0084,P09,309.98,0.33,0.0018,A
SKU0085,P07,68.85,1.23,0.0044,A
SKU0086,P08,45.81,2.03,0.0058,C
SKU0087,P01,53.56,3.72,0.0125,B
SKU0088,P04,98.16,3.06,0.0135,A
